,1,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
105,9,8,Marc Gasol,24,MEM,0.0,4.0,600,0.006999999999999999,82,30.7,11.9,7.4,1.7,0.8,1.1,0.53,0.0,0.733,6.4,0.121
106,10,9T,Rudy Fernández,23,POR,0.0,3.0,600,0.005,78,25.6,10.4,2.7,2.0,0.9,0.2,0.425,0.39899999999999997,0.8390000000000001,6.1,0.147
107,11,9T,Robin Lopez,20,PHO,0.0,3.0,600,0.005,60,10.2,3.2,2.0,0.1,0.2,0.7,0.518,0.0,0.691,1.1,0.083
108,12,11T,Mario Chalmers,22,MIA,0.0,2.0,600,0.003,82,32.0,10.0,2.8,4.9,2.0,0.1,0.42,0.36700000000000005,0.767,5.2,0.095
109,13,11T,Courtney Lee,23,ORL,0.0,2.0,600,0.003,77,25.2,8.4,2.3,1.2,1.0,0.2,0.45,0.40399999999999997,0.83,4.4,0.10800000000000001
110,14,13,Nicolas Batum,20,POR,0.0,1.0,600,0.002,79,18.4,5.4,2.8,0.9,0.6,0.5,0.446,0.369,0.8079999999999999,3.7,0.12300000000000001
111,2,1,Tyreke Evans,20,SAC,67.0,491.0,615,0.7979999999999999,72,37.2,20.1,5.3,5.8,1.5,0.4,0.45799999999999996,0.255,0.748,5.4,0.09699999999999999
112,3,2,Stephen Curry,21,GSW,43.0,391.0,615,0.636,80,36.2,17.5,4.5,5.9,1.9,0.2,0.462,0.43700000000000006,0.885,4.7,0.077
113,4,3,Brandon Jennings,20,MIL,12.0,204.0,615,0.332,82,32.6,15.5,3.4,5.7,1.3,0.2,0.371,0.374,0.8170000000000001,4.2,0.075
114,5,4,Darren Collison,22,NOH,1.0,17.0,615,0.027999999999999997,76,27.8,12.4,2.5,5.7,1.0,0.1,0.47700000000000004,0.4,0.851,2.9,0.067
115,6,5T,Jonny Flynn,20,MIN,0.0,2.0,615,0.003,81,28.9,13.5,2.4,4.4,1.0,0.0,0.41700000000000004,0.358,0.826,0.1,0.002
116,7,5T,Taj Gibson,24,CHI,0.0,2.0,615,0.003,82,26.9,9.0,7.5,0.9,0.6,1.3,0.494,,0.6459999999999999,4.7,0.10300000000000001
117,2,1,Blake Griffin,21,LAC,118.0,590.0,590,1.0,82,38.0,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152
118,3,2,John Wall,20,WAS,0.0,295.0,590,0.5,69,37.8,16.4,4.6,8.3,1.8,0.5,0.409,0.29600000000000004,0.7659999999999999,2.2,0.040999999999999995
119,4,3,DeMarcus Cousins,20,SAC,0.0,81.0,590,0.13699999999999998,81,28.5,14.1,8.6,2.5,1.0,0.8,0.43,0.16699999999999998,0.687,1.1,0.022000000000000002
120,5,4,Landry Fields,22,NYK,0.0,62.0,590,0.105,82,31.0,9.7,6.4,1.9,1.0,0.2,0.49700000000000005,0.39299999999999996,0.769,5.3,0.1
121,6,5,Gary Neal,26,SAS,0.0,19.0,590,0.032,80,21.1,9.8,2.5,1.2,0.3,0.1,0.451,0.419,0.8079999999999999,3.5,0.099
122,7,6,Greg Monroe,20,DET,0.0,15.0,590,0.025,80,27.8,9.4,7.5,1.3,1.2,0.6,0.551,0.0,0.622,6.6,0.14300000000000002
123,2,1,Kyrie Irving,19,CLE,117.0,592.0,600,0.987,51,30.5,18.5,3.7,5.4,1.1,0.4,0.469,0.39899999999999997,0.872,4.1,0.125
124,3,2,Ricky Rubio,21,MIN,0.0,170.0,600,0.28300000000000003,41,34.2,10.6,4.2,8.2,2.2,0.2,0.35700000000000004,0.34,0.8029999999999999,2.0,0.07
125,4,3,Kenneth Faried,22,DEN,1.0,129.0,600,0.215,46,22.5,10.2,7.7,0.8,0.7,1.0,0.586,,0.665,4.6,0.212
126,5,4,Kawhi Leonard,20,SAS,1.0,47.0,600,0.078,64,24.0,7.9,5.1,1.1,1.3,0.4,0.493,0.376,0.773,5.5,0.171
127,6,5,Iman Shumpert,21,NYK,1.0,33.0,600,0.055,59,28.9,9.5,3.2,2.8,1.7,0.1,0.401,0.306,0.7979999999999999,2.4,0.068
128,7,6,Klay Thompson,21,GSW,0.0,30.0,600,0.05,66,24.4,12.5,2.4,2.0,0.7,0.3,0.44299999999999995,0.414,0.868,1.7,0.05
129,8,7,Isaiah Thomas,22,SAC,0.0,28.0,600,0.047,65,25.5,11.5,2.6,4.1,0.8,0.1,0.44799999999999995,0.379,0.8320000000000001,4.3,0.124
130,9,8,Brandon Knight,20,DET,0.0,21.0,600,0.035,66,32.3,12.8,3.2,3.8,0.7,0.2,0.415,0.38,0.759,1.3,0.028999999999999998
131,10,9,Chandler Parsons,23,HOU,0.0,14.0,600,0.023,63,28.6,9.5,4.8,2.1,1.2,0.5,0.452,0.337,0.551,3.4,0.09
132,11,10,MarShon Brooks,23,NJN,0.0,4.0,600,0.006999999999999999,56,29.4,12.6,3.6,2.3,0.9,0.3,0.428,0.313,0.764,0.8,0.022000000000000002
133,12,11,Kemba Walker,21,CHA,0.0,3.0,600,0.005,66,27.2,12.1,3.5,4.4,0.9,0.3,0.366,0.305,0.789,0.3,0.009000000000000001
134,13,12,Josh Selby,20,MEM,0.0,1.0,600,0.002,28,8.5,2.3,0.5,1.1,0.3,0.0,0.34700000000000003,0.133,0.7859999999999999,-0.5,-0.105
135,2,1,Damian Lillard,22,POR,121.0,605.0,605,1.0,82,38.6,19.0,3.1,6.5,0.9,0.2,0.429,0.368,0.8440000000000001,5.8,0.08800000000000001
136,3,2,Anthony Davis,19,NOH,0.0,306.0,605,0.506,64,28.8,13.5,8.2,1.0,1.2,1.8,0.516,0.0,0.7509999999999999,6.1,0.159
137,4,3,Bradley Beal,19,WAS,0.0,94.0,605,0.155,56,31.2,13.9,3.8,2.4,0.9,0.5,0.41,0.386,0.7859999999999999,3.0,0.08199999999999999
138,5,4,Andre Drummond,19,DET,0.0,36.0,605,0.06,60,20.7,7.9,7.6,0.5,1.0,1.6,0.608,0.5,0.371,4.5,0.172
139,6,5,Dion Waiters,21,CLE,0.0,21.0,605,0.035,61,28.8,14.7,2.4,3.0,1.0,0.3,0.41200000000000003,0.31,0.746,0.9,0.026000000000000002
140,7,6T,Harrison Barnes,20,GSW,0.0,8.0,605,0.013000000000000001,81,25.4,9.2,4.1,1.2,0.6,0.2,0.439,0.359,0.758,2.8,0.065
141,8,6T,Chris Copeland,28,NYK,0.0,8.0,605,0.013000000000000001,56,15.4,8.7,2.1,0.5,0.3,0.2,0.479,0.42100000000000004,0.759,2.1,0.11699999999999999
142,9,8,Michael Kidd-Gilchrist,19,CHA,0.0,3.0,605,0.005,78,26.0,9.0,5.8,1.5,0.7,0.9,0.45799999999999996,0.222,0.7490000000000001,2.1,0.051
143,10,9,Jonas Valančiūnas,20,TOR,0.0,2.0,605,0.003,62,23.9,8.9,6.0,0.7,0.3,1.3,0.557,,0.789,3.9,0.127
144,11,10,John Jenkins,21,ATL,0.0,1.0,605,0.002,61,14.8,6.1,1.5,0.9,0.2,0.2,0.446,0.384,0.843,1.7,0.091
145,2,1,Michael Carter-Williams,22,PHI,104.0,569.0,620,0.9179999999999999,70,34.5,16.7,6.2,6.3,1.9,0.6,0.405,0.264,0.703,1.3,0.026000000000000002
