,1,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
181,3,2,Donovan Mitchell,21,UTA,11.0,323.0,505,0.64,79,33.4,20.5,3.7,3.7,1.5,0.3,0.43700000000000006,0.34,0.805,5.2,0.095
182,4,3,Jayson Tatum,19,BOS,0.0,101.0,505,0.2,80,30.5,13.9,5.0,1.6,1.0,0.7,0.475,0.434,0.826,7.1,0.139
183,5,4,Kyle Kuzma,22,LAL,0.0,3.0,505,0.006,77,31.2,16.1,6.3,1.8,0.6,0.4,0.45,0.366,0.7070000000000001,3.8,0.077
184,6,5,Dennis Smith,20,DAL,0.0,1.0,505,0.002,69,29.7,15.2,3.8,5.2,1.0,0.3,0.395,0.313,0.6940000000000001,-0.7,-0.017
185,2,1,Luka Dončić,19,DAL,98.0,496.0,500,0.992,72,32.2,21.2,7.8,6.0,1.1,0.3,0.42700000000000005,0.327,0.713,4.9,0.10099999999999999
186,3,2,Trae Young,20,ATL,2.0,301.0,500,0.602,81,30.9,19.1,3.7,8.1,0.9,0.2,0.418,0.324,0.8290000000000001,3.3,0.062
187,4,3,Deandre Ayton,20,PHO,0.0,66.0,500,0.132,71,30.7,16.3,10.3,1.8,0.9,0.9,0.585,0.0,0.746,5.8,0.128
188,5,4,Jaren Jackson,19,MEM,0.0,12.0,500,0.024,58,26.1,13.8,4.7,1.1,0.9,1.4,0.506,0.359,0.7659999999999999,3.3,0.105
189,6,5,Collin Sexton,20,CLE,0.0,10.0,500,0.02,82,31.8,16.7,2.9,3.0,0.5,0.1,0.43,0.402,0.8390000000000001,-0.6,-0.011000000000000001
190,7,6,Shai Gilgeous-Alexander,20,LAC,0.0,7.0,500,0.013999999999999999,82,26.5,10.8,2.8,3.3,1.2,0.5,0.47600000000000003,0.36700000000000005,0.8,3.3,0.07400000000000001
191,8,7,Marvin Bagley,19,SAC,0.0,6.0,500,0.012,62,25.3,14.9,7.6,1.0,0.5,1.0,0.504,0.313,0.691,3.6,0.11
192,9,8T,Josh Okogie,20,MIN,0.0,1.0,500,0.002,74,23.7,7.7,2.9,1.2,1.2,0.4,0.386,0.27899999999999997,0.728,1.2,0.034
193,10,8T,Mitchell Robinson,20,NYK,0.0,1.0,500,0.002,66,20.6,7.3,6.4,0.6,0.8,2.4,0.6940000000000001,,0.6,6.1,0.217
